,polaridad,tweet
0,0.0,RT PaoloEspinB El Iess ahora est cerca de sus afiliados pensionistas y jubilados eficiente laborIessTeCuida IessMasCercaDeTi h
1,0.0,RT EspinelDr Semana de actividades ProSalud El fortalecimiento de estrategias dentro de la Direccin de Salud es importante para poten
2,0.0,betun68 beticoazul BurbanoXavier MarioOrtegaL IESSec Tanto es el deterioro que RafaelCuesta hermano del as
3,0.0,Daniel2474vz MichelaPinBu IESSec Lenin sea que los aportes mensuales al IESS son para que se los rife el estado segn tu
4,0.0,RT EspinelDr Semana de actividades ProSalud El fortalecimiento de estrategias dentro de la Direccin de Salud es importante para poten
5,0.0,RT franklinsheto Fbolona shababaty Disfrutando en Canad con toda la familia el saqueo al IESS debi ser brutalLenin hasta cuando
6,0.0,RT franklinsheto Fbolona shababaty Disfrutando en Canad con toda la familia el saqueo al IESS debi ser brutalLenin hasta cuando
7,0.0,RT Rodrigo83952437 politikcorrecta VicenteTaianoEC Quizs sea verdad lo que se expresa ReformaLaboral es para mejorar Jubilacin IES
8,0.0,politikcorrecta VicenteTaianoEC Quizs sea verdad lo que se expresa ReformaLaboral es para mejorar Jubilacin
9,0.0,Fbolona shababaty Disfrutando en Canad con toda la familia el saqueo al IESS debi ser brutalLenin hasta c
10,0.0,RT LuisaMaHeredia Alaire en AFondo analizamos la situacin de los migrantes venezolanos con DanielRegalado de la AsociacinVenezuela
11,0.0,Alaire en AFondo analizamos la situacin de los migrantes venezolanos con DanielRegalado de la
12,0.0,RT kimontare Si se acuerdan quien lo dej escaparY luego le premiaron con la direccin del IESSY ni Contralora ni Fiscala n
13,0.0,Y q esperaban Con un IESS q conceptualmente debe ser para los afiliados y no para los gobiernos de turno
14,0.0,RT kimontare Si se acuerdan quien lo dej escaparY luego le premiaron con la direccin del IESSY ni Contralora ni Fiscala n
15,0.0,RT kimontare Si se acuerdan quien lo dej escaparY luego le premiaron con la direccin del IESSY ni Contralora ni Fiscala n
16,0.0,Si se acuerdan quien lo dej escaparY luego le premiaron con la direccin del IESSY ni Contralora ni Fi
17,0.0,RT HospitalDGDZ Hoy tuvimos la Reunin mensual de la Micro Red Zona 4 Norte Manab Santo Domingo RPIS con presencia de IESS ISFFA I
18,0.0,RT EspinelDr Manab La Coordinacin Zonal del IESS en conjunto con el Tcnico Operativo de Apoyo TOA recorrieron la infraestructura
19,0.0,RT EspinelDr Semana de actividades ProSalud El fortalecimiento de estrategias dentro de la Direccin de Salud es importante para poten
20,0.0,RT revistavistazo Desde este lunes los afiliados del IESS pueden acceder a prstamos hipotecarios con un financiamiento de hasta el 100
