,polaridad,tweet
0,0.0, PatriaPrimeroEc CNE aprueba entrega de formularios para recoleccin de firmas para eliminar el CPCCS El mismo cnegobec NO ENTREGA
1,0.0, PatriaPrimeroEc CNE aprueba entrega de formularios para recoleccin de firmas para eliminar el CPCCS El mismo cnegobec NO ENTREGA
2,0.0, PatriaPrimeroEc CNE aprueba entrega de formularios para recoleccin de firmas para eliminar el CPCCS El mismo cnegobec NO ENTREGA
3,0.0, VerdugaAbraham Ahora ya nadie habla del renovado CPCCS Ser que la purga funcionQuin decide cuando expira la coyuntura
4,0.0, PatriaPrimeroEc CNE aprueba entrega de formularios para recoleccin de firmas para eliminar el CPCCS El mismo cnegobec NO ENTREGA
5,0.0, smercedesfranco GabrielaEsPais en Sputnik sobre la situacin poltica de Ecuador y la destitucin ilegal de otros ciudadanos elegido
6,0.0, PatriaPrimeroEc CNE aprueba entrega de formularios para recoleccin de firmas para eliminar el CPCCS El mismo cnegobec NO ENTREGA
7,0.0, PatriaPrimeroEc CNE aprueba entrega de formularios para recoleccin de firmas para eliminar el CPCCS El mismo cnegobec NO ENTREGA
8,0.19999999999999998, EstebanVillama9 La consulta popular para eliminar al CPCCS adems de darle total independencia a la fiscala debera darle total ind
9,0.0, PatriaPrimeroEc CNE aprueba entrega de formularios para recoleccin de firmas para eliminar el CPCCS El mismo cnegobec NO ENTREGA
10,0.0, PatriaPrimeroEc CNE aprueba entrega de formularios para recoleccin de firmas para eliminar el CPCCS El mismo cnegobec NO ENTREGA
11,0.0, smercedesfranco GabrielaEsPais en Sputnik sobre la situacin poltica de Ecuador y la destitucin ilegal de otros ciudadanos elegido
12,0.0, PatriaPrimeroEc CNE aprueba entrega de formularios para recoleccin de firmas para eliminar el CPCCS El mismo cnegobec NO ENTREGA
13,0.0, PatriaPrimeroEc CNE aprueba entrega de formularios para recoleccin de firmas para eliminar el CPCCS El mismo cnegobec NO ENTREGA
14,0.0, PatriaPrimeroEc CNE aprueba entrega de formularios para recoleccin de firmas para eliminar el CPCCS El mismo cnegobec NO ENTREGA
